,restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,label
46,328-katong-laksa,Yummy 328 Katong Laksa!,Evelyn Foo,food,laksa singapore,laksa singapore,laksa singapor,0
47,328-katong-laksa,"[Katong] Undercooked strands of stiff rubber bands passed off as noodles, the broth lacking any depth of flavour, with only the flat taste of coconut ($7).",NUS FAT Club,food,passed noodles broth lacking flat taste coconut dayseat laksa no,passed noodle broth lacking flat taste coconut dayseat laksa no,pass noodl broth lack flat tast coconut dayseat laksa no,-1
48,328-katong-laksa,"“Welcome to Singapore, Day 9”
・
📌328 Katong Laksa
📌MARINE PARADE LAKSA
・
Comparing the taste of Laksa.",dori mingo,food,welcome singapore day katong laksa marine parade laksa katonglaksa,welcome singapore day katong laksa marine parade laksa katonglaksa,welcom singapor day katong laksa marin parad laksa katonglaksa,0
49,328-katong-laksa,"“Welcome to Singapore, Day 9”
・
📌328 Katong Laksa
📌MARINE PARADE LAKSA
・
Comparing the taste of Laksa.",dori mingo,portion,laksa laksa small,laksa laksa small,laksa laksa small,-1
50,333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",Joanne Tan,food,friday pig intestines big chinesefood food foodie foodiesg,friday pig intestine big chinesefood food foodie foodiesg,friday pig intestin big chinesefood food foodi foodiesg,0
51,333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",Joanne Tan,portion,friday pig intestines big,friday pig intestine big,friday pig intestin big,1
52,333-bak-kut-teh,Yumyum.😊,SHI JIA OOI,price,nice,nice,nice,1
53,3crab-teck-chye,Crabs!,Sam -,food,fresh not aroma taste,fresh not aroma taste,fresh not aroma tast,0
54,4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!",Makan Warrior,food,dining brand fried chicken new tom yum pop crispy popping candy way fingers taste fried chicken,dining brand fried chicken new tom yum pop crispy popping candy way finger taste fried chicken,dine brand fri chicken new tom yum pop crispi pop candi way finger tast fri chicken,0
55,4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!",Makan Warrior,time,limited time,limited time,limit time,0
56,4-fingers-marina-square,Craving for Fried Chicken since yesterday & finally dream came true 😍 🍗 6 pcs mixed (soy & spicy) ($8.45) all for myself 🤣,Judy Choong,food,fried chicken yesterday finally dream came true licking good licking good,fried chicken yesterday finally dream came true licking good licking good,fri chicken yesterday final dream came true lick good lick good,1
57,4-fingers-marina-square,What a sinful way to end the weekend!,Posh Code,food,fried chicken wings garlic seasoning seaweed fries friedchicken fourfingers,fried chicken wing garlic seasoning seaweed fry friedchicken fourfingers,fri chicken wing garlic season seawe fri friedchicken fourfing,0
58,4-fingers-marina-square,"💥🍗Check out @gimme4fingers New Explosive Tom Yum Pop Crispy Chicken💥🍗Each Fried Chicken is meticulously hand brushed with their homemade Tom Yum Sauce- a mix of spicy, sour and salty flavors and topped with popping candy crispies for a touch of sweetness.",Sheryl Sherbakes,food,explosive tom yum pop crispy chicken fried popping candy crispies touch combined soy garlic hot sauce options form wingettes drumettes boneless bites friedchicken,explosive tom yum pop crispy chicken fried popping candy crispies touch combined soy garlic hot sauce option form wingettes drumettes boneless bite friedchicken,explos tom yum pop crispi chicken fri pop candi crispi touch combin soy garlic hot sauc option form wingett drumett boneless bite friedchicken,0
59,5-the-moments,"At SGD 8.80 for a #doublescoop #serving of #two #flavours I do not #recall, this was #expensive #icecream and not #memorable.",Reuben Lim,ambience,lovely seats ambience,lovely seat ambience,love seat ambienc,1
60,5-the-moments,"At SGD 8.80 for a #doublescoop #serving of #two #flavours I do not #recall, this was #expensive #icecream and not #memorable.",Reuben Lim,food,icecream,icecream,icecream,0
61,5-the-moments,"At SGD 8.80 for a #doublescoop #serving of #two #flavours I do not #recall, this was #expensive #icecream and not #memorable.",Reuben Lim,portion,doublescoop serving flavours not recall,doublescoop serving flavour not recall,doublescoop serv flavour not recal,0
62,5-the-moments,"At SGD 8.80 for a #doublescoop #serving of #two #flavours I do not #recall, this was #expensive #icecream and not #memorable.",Reuben Lim,price,expensive icecream,expensive icecream,expens icecream,-1
63,5-the-moments,Cafe At Tanjong Pagar,hayashi kazuko,ambience,amazing funky instagram worthy desserts vintage interior decor interior decor good vibes themoments,amazing funky instagram worthy dessert vintage interior decor interior decor good vibe themoments,amaz funki instagram worthi dessert vintag interior decor interior decor good vibe themoment,1
64,5-the-moments,Charcoal Waffle for ✌🏼️with AFTER DINNER flavor ice cream🍦...,Mini YSF,food,icecream,icecream,icecream,0
65,5-the-moments,Dessert time!,May Man,food,redvelvet matchagreentea vanilla,redvelvet matchagreentea vanilla,redvelvet matchagreentea vanilla,0
66,5-the-moments,Free pour by our very talented barista.,5 The Moments,food,sgig latte tanjongpagar coffee,sgig latte tanjongpagar coffee,sgig latt tanjongpagar coffe,0
67,5-the-moments,Good For Sharing,Alicia Ho,food,sharing different scoops ice cream waffle buttermilk matcha red velvet bud confused sharing different scoops ice cream,sharing different scoop ice cream waffle buttermilk matcha red velvet bud confused sharing different scoop ice cream,share differ scoop ice cream waffl buttermilk matcha red velvet bud confus share differ scoop ice cream,-1
68,5-the-moments,Majullah Singapura !,5 The Moments,food,ndp waffleicecream,ndp waffleicecream,ndp waffleicecream,0
69,5-the-moments,Our beloved coffee machine.,5 The Moments,food,beloved coffee,beloved coffee,belov coffe,1
70,5-the-moments,Plain Ice Cream,Huang Chunping,food,diluted earl grey bad,diluted earl grey bad,dilut earl grey bad,-1
71,5-the-moments,Plain Ice Cream,Huang Chunping,service,bad staff not friendly barely,bad staff not friendly barely,bad staff not friendli bare,-1
72,5-the-moments,Worst Truffle Fries,Yan Lim,food,good not fries,good not fry,good not fri,1
73,5-the-moments,"[Matcha Lava Cake-$9.50]
While the aesthetics for this was totally on point, (swipe to see that pool of lava threatening to spill over 😹) , the same sadly can't be said about the tastes😅
Save for the green aesthetics, there was barely any hint of matcha detectable.",Seanna Lim,food,sweet tasted like maple syrup instead black sesame ice cream sweettooth blacksesame,sweet tasted like maple syrup instead black sesame ice cream sweettooth blacksesame,sweet tast like mapl syrup instead black sesam ice cream sweettooth blacksesam,0
74,5-the-moments,"[Matcha Tiramisu-$8.50]
Rather pricey, but the cake was also larger than average.",Seanna Lim,food,nice green tea fragrance matchadessert cake tiramisu cake larger,nice green tea fragrance matchadessert cake tiramisu cake larger,nice green tea fragranc matchadessert cake tiramisu cake larger,1
75,5-the-moments,"[Matcha Tiramisu-$8.50]
Rather pricey, but the cake was also larger than average.",Seanna Lim,price,pricey cake larger,pricey cake larger,pricey cake larger,-1
76,5-the-moments,savouringthemoment,Minghui Chua,food,selling ice cream cool shizz friend dark chocolate not bad best pop,selling ice cream cool shizz friend dark chocolate not bad best pop,sell ice cream cool shizz friend dark chocol not bad best pop,1
77,63espresso,Cold Brew,Xing Wei Chua,food,stark resembelance packaging papa pahelta version pretty fruity taste,stark resembelance packaging papa pahelta version pretty fruity taste,stark resembel packag papa pahelta version pretti fruiti tast,0
78,63espresso,Great $3 Lattes,Edith L.,price,worth,worth,worth,1
79,63espresso,Missing the coffee I get from Melbourne.,Saru Chan,food,good coffee sg good coffee sg,good coffee sg good coffee sg,good coffe sg good coffe sg,1
80,63espresso,Missing the coffee I get from Melbourne.,Saru Chan,price,cappuccino expensive cappuccino expensive,cappuccino expensive cappuccino expensive,cappuccino expens cappuccino expens,0
81,79-after-dark,3.75⭐ Indian food are usually expensive but this meal is much more affordable after utilising the burpple app.,Jerlin Tan,food,butter chicken taste not bad mutton slight gamey,butter chicken taste not bad mutton slight gamey,butter chicken tast not bad mutton slight gamey,0
82,79-after-dark,3.75⭐ Indian food are usually expensive but this meal is much more affordable after utilising the burpple app.,Jerlin Tan,price,affordable utilising burpple,affordable utilising burpple,afford utilis burppl,1
83,79-after-dark,Butter Chicken ($18),Mu 🥐,food,chunks creamy tomato ey cashew gravy best enjoyed basket naan garlic ones,chunk creamy tomato ey cashew gravy best enjoyed basket naan garlic one,chunk creami tomato ey cashew gravi best enjoy basket naan garlic one,1
84,79-after-dark,"Butter Chicken, Mutton Rogan Josh, Plain/Butter Naan",Serena Chai,ambience,bout place maybe left feeling wee bit disappointed,bout place maybe left feeling wee bit disappointed,bout place mayb left feel wee bit disappoint,-1
85,79-after-dark,"Butter Chicken, Mutton Rogan Josh, Plain/Butter Naan",Serena Chai,food,butter chicken mutton rogan josh plain naan best butter chicken,butter chicken mutton rogan josh plain naan best butter chicken,butter chicken mutton rogan josh plain naan best butter chicken,1
86,79-after-dark,Mutton Biryani ($16),Mu 🥐,food,enjoyable biryani fluffy basmati rice tender mutton chunks,enjoyable biryani fluffy basmati rice tender mutton chunk,enjoy biryani fluffi basmati rice tender mutton chunk,1
87,79-after-dark,Vegetarian Biryani,Super C,food,free water,free water,free water,0
88,79-after-dark,Vegetarian Biryani,Super C,price,excluded tax service charge excluded tax service charge,excluded tax service charge excluded tax service charge,exclud tax servic charg exclud tax servic charg,0
89,87-senze-taiwan-porridge,Braised Pork with Preserved Vegetables ($18 for Medium),Sean Chen,food,preserved vegetables medium melt mouth tender mildly sweet sauce coats entire pork paired savoury watery harmonious,preserved vegetable medium melt mouth tender mildly sweet sauce coat entire pork paired savoury watery harmonious,preserv veget medium melt mouth tender mildli sweet sauc coat entir pork pair savouri wateri harmoni,1
90,87-senze-taiwan-porridge,Chinese,Fatty Foodie,food,refillable porridge no questions asked,refillable porridge no question asked,refil porridg no question ask,0
91,87-senze-taiwan-porridge,Chinese,Fatty Foodie,service,friendly staff asked friendly staff,friendly staff asked friendly staff,friendli staff ask friendli staff,1
92,87-senze-taiwan-porridge,For 1-for-1 Main Dish (save ~$15),Burpple Guides,food,sweet potato porridge salted egg yolk prawns luxuriously tender pan fried cod fish soya sauce seafood tofu roll,sweet potato porridge salted egg yolk prawn luxuriously tender pan fried cod fish soya sauce seafood tofu roll,sweet potato porridg salt egg yolk prawn luxuri tender pan fri cod fish soya sauc seafood tofu roll,0
93,87-senze-taiwan-porridge,Spicy Eggplant w/ Minced Pork ($20 for Large),Sean Chen,food,minced pork large firm lots flesh meat sauce thicker,minced pork large firm lot flesh meat sauce thicker,minc pork larg firm lot flesh meat sauc thicker,0
94,87-senze-taiwan-porridge,Taiwan San Bei Chicken in Clay Pot ($21 for Medium),Sean Chen,food,clay pot medium sauce dried chili slices ginger cloves mushy garlic heavenly supposed soggy decent dish overall,clay pot medium sauce dried chili slice ginger clove mushy garlic heavenly supposed soggy decent dish overall,clay pot medium sauc dri chili slice ginger clove mushi garlic heavenli suppos soggi decent dish overal,1
95,8ash,Hoshi Wagyu Steak,Jamie Xen,portion,good,good,good,1
96,9-plus-cafe,Ayam Penyet,Thiam Peng Tan,food,delivers good meal fried chicken awesome curry runny egg delivers good meal,delivers good meal fried chicken awesome curry runny egg delivers good meal,deliv good meal fri chicken awesom curri runni egg deliv good meal,1
97,9-plus-cafe,Cereus Flower Pork Cartilage Soup With Hae Bee Rice,Thiam Peng Tan,food,shiok albeit not piece soft fried fish rice lol,shiok albeit not piece soft fried fish rice lol,shiok albeit not piec soft fri fish rice lol,1
98,9-plus-cafe,Mee Rebus & Ayam Penyet,Thiam Peng Tan,food,malay stall popular juicy tender soup gravy bean sprouts raw,malay stall popular juicy tender soup gravy bean sprout raw,malay stall popular juici tender soup gravi bean sprout raw,1
99,ah-hua-kelong-1,Chilli Crab Mantou,Ems Huang,food,chilli crab sour,chilli crab sour,chilli crab sour,0
100,ah-hua-kelong-1,Fish & Chips,Liz :),food,fish filleted sesame dressing,fish filleted sesame dressing,fish fillet sesam dress,0
101,ah-hua-kelong-1,"I was really excited and had high expectations coming into this meal, especially after trying out the dinner menu here, which was excellent, and from their other outlet, Scaled by Ah Hua Kelong at Haji Lane, which was equally fantastic.",Julius Lim,food,good things thai asparagus fried egg nyonya salmon probably better getting zhi char stall,good thing thai asparagus fried egg nyonya salmon probably better getting zhi char stall,good thing thai asparagu fri egg nyonya salmon probabl better get zhi char stall,0
102,ah-hua-kelong-1,"I was really excited and had high expectations coming into this meal, especially after trying out the dinner menu here, which was excellent, and from their other outlet, Scaled by Ah Hua Kelong at Haji Lane, which was equally fantastic.",Julius Lim,price,ranging price point pretty affordable bowl comes sauted thai asparagus fried egg,ranging price point pretty affordable bowl come sauted thai asparagus fried egg,rang price point pretti afford bowl come saut thai asparagu fri egg,1
103,ah-hua-kelong-1,"I was really excited and had high expectations coming into this meal, especially after trying out the dinner menu here, which was excellent, and from their other outlet, Scaled by Ah Hua Kelong at Haji Lane, which was equally fantastic.",Julius Lim,service,good things,good thing,good thing,1
104,ah-hua-kelong-1,Jackpot Clams,Yong SR,food,tiny meat remain intact garlic garlic chili,tiny meat remain intact garlic garlic chili,tini meat remain intact garlic garlic chili,0
105,ah-hua-kelong-1,Salted Egg Prawns,Yong SR,food,salted egg prawnsthe manager informed chef came recipe sauce not creamy style sense authenticity grainy texture,salted egg prawnsthe manager informed chef came recipe sauce not creamy style sense authenticity grainy texture,salt egg prawnsth manag inform chef came recip sauc not creami style sens authent graini textur,0
106,ah-hua-kelong-1,Seafood Pasta,Liz :),food,skip pasta sadly close limp underseasoned pure seafood dishes particularly prawns dish pasta spaghetti sadly close limp underseasoned,skip pasta sadly close limp underseasoned pure seafood dish particularly prawn dish pasta spaghetti sadly close limp underseasoned,skip pasta sadli close limp underseason pure seafood dish particularli prawn dish pasta spaghetti sadli close limp underseason,-1
107,ah-hua-kelong-1,Seafood Pasta,Liz :),service,waiter know,waiter know,waiter know,0
108,ah-hua-kelong-1,"So So Food, Service Can Be Improved",XYING LEE,food,wings salmon nonya spices salted egg calamari rice bowl asparagus added nice texture nice texture,wing salmon nonya spice salted egg calamari rice bowl asparagus added nice texture nice texture,wing salmon nonya spice salt egg calamari rice bowl asparagu ad nice textur nice textur,1
109,ah-hua-kelong-1,"So So Food, Service Can Be Improved",XYING LEE,service,attentive,attentive,attent,1
110,ah-hua-kelong-1,"Thanks to Burpple Beyond, we had such a satisfying meal at Ah Hua Kelong.",Julius Lim,food,satisfying meal ah hua seafood steamed fish no muddy aroma meat shined light soya sauce buttermilk chicken huge fan egg tofu served zichar pudding vegetables entire dish entire dish,satisfying meal ah hua seafood steamed fish no muddy aroma meat shined light soya sauce buttermilk chicken huge fan egg tofu served zichar pudding vegetable entire dish entire dish,satisfi meal ah hua seafood steam fish no muddi aroma meat shine light soya sauc buttermilk chicken huge fan egg tofu serv zichar pud veget entir dish entir dish,1
111,ah-hua-kelong-1,"Thanks to Burpple Beyond, we had such a satisfying meal at Ah Hua Kelong.",Julius Lim,service,good,good,good,1
112,ah-kow-mushroom-minced-pork-mee-meng-soon-huat-food-centre,Minced Meat Noodle (Dry) @ Ah Kow Mushroom Minced Pork Mee.,AC Chan,food,dry ah kow mushroom minced pork sole fish,dry ah kow mushroom minced pork sole fish,dri ah kow mushroom minc pork sole fish,0
113,ah-kow-mushroom-minced-pork-mee-meng-soon-huat-food-centre,"Mushroom minced meat mee kia dry (w/ chilli, w/o vinegar) - $5
I’m a super fan of hong lim food centre’s bcm stall (best in SG imo) of the same name but different brother, and was so so SO glad to have finally made my way down to bukit gombak to have this!!",ourstuffedcheeks .,food,minced meat mee kia dry chilli vinegar super fan hong lim food centre bcm stall best sg imo glad finally way bukit gombak mushroom sauce,minced meat mee kia dry chilli vinegar super fan hong lim food centre bcm stall best sg imo glad finally way bukit gombak mushroom sauce,minc meat mee kia dri chilli vinegar super fan hong lim food centr bcm stall best sg imo glad final way bukit gombak mushroom sauc,1
114,ah-kow-mushroom-minced-pork-mee-meng-soon-huat-food-centre,Not Michelin rated so no need to queue.,Jeremy Tan,food,tagsforlikes yummy,tagsforlikes yummy,tagsforlik yummi,1
115,ah-kow-mushroom-minced-pork-mee-meng-soon-huat-food-centre,SAH breakfast.,Jeremy Tan,food,bcm kway teow soup tagsforlikes yummy,bcm kway teow soup tagsforlikes yummy,bcm kway teow soup tagsforlik yummi,1
116,ah-kow-mushroom-minced-pork-mee-meng-soon-huat-food-centre,TOP-up b4 the hunting starts.,Jeremy Tan,food,tagsforlikes yummy,tagsforlikes yummy,tagsforlik yummi,1
117,ah-lian-beehoon,Ah Lian,Gin 💛,food,kway teow economic noodle stall right tasty wide array sides long beans tofu squid balls chicken wings long beans tummy comfort poured serving tin container,kway teow economic noodle stall right tasty wide array side long bean tofu squid ball chicken wing long bean tummy comfort poured serving tin container,kway teow econom noodl stall right tasti wide array side long bean tofu squid ball chicken wing long bean tummi comfort pour serv tin contain,1
118,ah-lian-beehoon,Ah Lian Bee Hoon,aggs & xi :D,food,perfect supper option not salty sufficiently savoury chicken wing,perfect supper option not salty sufficiently savoury chicken wing,perfect supper option not salti suffici savouri chicken wing,1
119,ah-liang-ipoh-hor-fun,Chicken Noodles,Ash L,food,shredded chk noodles instead usual hor fun,shredded chk noodle instead usual hor fun,shred chk noodl instead usual hor fun,0
120,ah-liang-ipoh-hor-fun,Dry Version,Alicia Ho,food,dry version soft nua chewy okay longest time recently notice dry version,dry version soft nua chewy okay longest time recently notice dry version,dri version soft nua chewi okay longest time recent notic dri version,0
121,ah-liang-ipoh-hor-fun,The best thing to eat when feeling under the weather… maybe the herbal sauce will speed up recovery.,Eleanor Tay,food,herbal sauce,herbal sauce,herbal sauc,0
122,ah-lock-tofu-yishun-park-hawker-centre,"When you marry two Hakka staples, lui cha and yong tau foo, this.",Jackson Sim,portion,better portion size,better portion size,better portion size,1
123,ah-seng-hai-nam-coffee,French toast,Tiara Lim,food,french toast traditional coffee shop stall no eggy fragrance bread toasted taste,french toast traditional coffee shop stall no eggy fragrance bread toasted taste,french toast tradit coffe shop stall no eggi fragranc bread toast tast,0
124,ah-seng-hai-nam-coffee,Kaya Butter Toast,Toad Tai,food,toastvisited popular coffee stall high expectations tad stale dry kaya slightly sweet,toastvisited popular coffee stall high expectation tad stale dry kaya slightly sweet,toastvisit popular coffe stall high expect tad stale dri kaya slightli sweet,-1
125,ah-seng-hai-nam-coffee,Local Breakfast Set,Ah Leong San,food,old school toast brings good memories brings good memories,old school toast brings good memory brings good memory,old school toast bring good memori bring good memori,1
126,ah-seng-hai-nam-coffee,Toast Egg Set,Kevin M,food,setanother traditional breakfast set locals serving toast sandwiches salty soft butter sweet creamy green kaya dark soy sauce light ground white pepper robust coffee boiled eggs serving toast sandwiches salty soft butter sweet creamy green kaya robust coffee,setanother traditional breakfast set local serving toast sandwich salty soft butter sweet creamy green kaya dark soy sauce light ground white pepper robust coffee boiled egg serving toast sandwich salty soft butter sweet creamy green kaya robust coffee,setanoth tradit breakfast set local serv toast sandwich salti soft butter sweet creami green kaya dark soy sauc light ground white pepper robust coffe boil egg serv toast sandwich salti soft butter sweet creami green kaya robust coffe,0
127,ahyeessoonkueh,Ku Chye Kueh 1.4nett,Wuu Yyiizzhhoouu,food,bit flour texture apart soft carrying slight chew clear mochi pungent taste sharp super addictive love skin bit flour texture apart soft slight chew clear mochi esque skins smell pungent taste sharp super addictive,bit flour texture apart soft carrying slight chew clear mochi pungent taste sharp super addictive love skin bit flour texture apart soft slight chew clear mochi esque skin smell pungent taste sharp super addictive,bit flour textur apart soft carri slight chew clear mochi pungent tast sharp super addict love skin bit flour textur apart soft slight chew clear mochi esqu skin smell pungent tast sharp super addict,1
