Unnamed: 0,restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,phrase_no_aspect,phrase_no_noun,label,new_aspect_1,new_aspect_2
10,the-60s,"Watery Porridge At The Sixties, Chinatown Complex","Very bad experience, rude store attendant, shouts at customer and porridge is watery with century egg dumped in. Will not come back. See photo.",Matt Saracen,@mattsaracen,food,"watery, century, egg, dumped","['watery', 'century', 'dumped']","['watery', 'dumped']",0,food,
11,omusg,Vegetable curry rice with lava egg.,"Overall, it’s not worth for another visit. Curry was overly salted and spiced and very little toppings. The Lava omelette was the only saviour!
#f52grams#ndweats#foodie#sgeats#singapore#omelette#curryrice#foodphotography#igfood#flatlay#burpple",Simply Foodiepage,@simplyfoodiepage,food,lava,['lava'],[],0,,
12,omusg,Vegetable curry rice with lava egg.,"Overall, it’s not worth for another visit. Curry was overly salted and spiced and very little toppings. The Lava omelette was the only saviour!
#f52grams#ndweats#foodie#sgeats#singapore#omelette#curryrice#foodphotography#igfood#flatlay#burpple",Simply Foodiepage,@simplyfoodiepage,food,"worth, another, visit","['another', 'visit']","['worth', 'another']",1,food,food
13,omusg,Vegetable curry rice with lava egg.,"Overall, it’s not worth for another visit. Curry was overly salted and spiced and very little toppings. The Lava omelette was the only saviour!
#f52grams#ndweats#foodie#sgeats#singapore#omelette#curryrice#foodphotography#igfood#flatlay#burpple",Simply Foodiepage,@simplyfoodiepage,food,"overly, salted, spiced","['overly', 'salted', 'spiced']","['overly', 'salted', 'spiced']",-1,food,food
14,omusg,Vegetable curry rice with lava egg.,"Overall, it’s not worth for another visit. Curry was overly salted and spiced and very little toppings. The Lava omelette was the only saviour!
#f52grams#ndweats#foodie#sgeats#singapore#omelette#curryrice#foodphotography#igfood#flatlay#burpple",Simply Foodiepage,@simplyfoodiepage,food,"little, toppings","['little', 'toppings']",['little'],-1,food,food
15,omusg,Vegetable curry rice with lava egg.,"Overall, it’s not worth for another visit. Curry was overly salted and spiced and very little toppings. The Lava omelette was the only saviour!
#f52grams#ndweats#foodie#sgeats#singapore#omelette#curryrice#foodphotography#igfood#flatlay#burpple",Simply Foodiepage,@simplyfoodiepage,price,"’, not, worth, another, visit","['’', 'not', 'another', 'visit']","['’', 'not', 'worth', 'another']",-1,food,food
16,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"japanese, sauce, omu, rice, beef, patty","['japanese', 'omu']","['japanese', 'omu', 'patty']",0,food,
17,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"upgraded, lava, style, egg","['upgraded', 'lava', 'style']",['upgraded'],0,food,
18,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,disappointed,['disappointed'],['disappointed'],-1,food,food
19,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"not, seasoned, well","['not', 'seasoned', 'well']","['not', 'seasoned', 'well']",-1,food,food
20,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"dry, strong, unpleasant, meat, smell","['dry', 'strong', 'unpleasant', 'smell']","['dry', 'strong', 'unpleasant', 'smell']",-1,food,food
21,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"redeeming, factor","['redeeming', 'factor']",['redeeming'],1,food,food
22,omusg,Average Omu Rice,"Order the Japanese Sauce Omu rice with Beef Patty ($12.80) but upgraded to lava style egg (+$2)
Was disappointed with it as the egg was not seasoned well. Japanese sauce tasted like dilute soya sauce with sugar in it. Beef patty was dry and had a strong unpleasant meat smell to it.
However, the redeeming factor was the shoyu butter fried rice that came with all OMU rice. It was fragrant and moist. 
Overall: Would not come back here again unless there is a 1 for 1 offer",Clarissa Tay,@clarissatay,food,"shoyu, butter, fried","['shoyu', 'fried']","['shoyu', 'fried']",0,food,
23,lams-abalone-noodles-lavender,Lam's salt baked chicken.,😋 #burpple,Daniel Hum,@dan,food,"baked, chicken",['baked'],['baked'],0,food,
24,breadsticks-vietnamese-cafe-bistro,Fish & chips,Exotic much. Too oily,Eileen Ng,@eileenleenleenn,food,chipsexotic,['chipsexotic'],['chipsexotic'],0,,
25,workbench-bistro,Garlic Fries,"Only thing that's worth trying at this place. Coffee was presented badly, burger was forgettable and aglio olio lacked flavour. ",Gerri Lim,@gerri_lim,food,"friesonly, thing, worth, trying, place","['friesonly', 'thing', 'trying']","['friesonly', 'worth', 'trying']",1,food,food
26,workbench-bistro,Garlic Fries,"Only thing that's worth trying at this place. Coffee was presented badly, burger was forgettable and aglio olio lacked flavour. ",Gerri Lim,@gerri_lim,food,"presented, badly, burger, forgettable, aglio","['presented', 'badly', 'forgettable', 'aglio']","['presented', 'badly', 'forgettable', 'aglio']",-1,food,food
27,workbench-bistro,Garlic Fries,"Only thing that's worth trying at this place. Coffee was presented badly, burger was forgettable and aglio olio lacked flavour. ",Gerri Lim,@gerri_lim,price,"worth, trying, place",['trying'],"['worth', 'trying']",1,food,food
28,workbench-bistro,Garlic Fries,"Only thing that's worth trying at this place. Coffee was presented badly, burger was forgettable and aglio olio lacked flavour. ",Gerri Lim,@gerri_lim,ambience,"trying, place",['trying'],['trying'],0,,
29,workbench-bistro,lousy truffle fries,truffle fries without taste of truffle..do not order the salted egg chicken pasta..tastes horribly salty n not well balanced..will not come again,Richard Yeo,@ryqz611,food,"truffle, friestruffle, fries, without, taste, truffle","['truffle', 'friestruffle', 'without', 'truffle']","['truffle', 'friestruffle', 'without', 'taste', 'truffle']",-1,food,food
30,workbench-bistro,lousy truffle fries,truffle fries without taste of truffle..do not order the salted egg chicken pasta..tastes horribly salty n not well balanced..will not come again,Richard Yeo,@ryqz611,food,"salted, egg, chicken, pasta",['salted'],['salted'],0,food,
31,omusg,Mushroom Salad,Fried mushroom salad with sour and salty sauce,Parepilai Miniseoul,@fahminiseoul,food,"mushroom, saladfried",['saladfried'],['saladfried'],0,food,
32,omusg,Mushroom Salad,Fried mushroom salad with sour and salty sauce,Parepilai Miniseoul,@fahminiseoul,food,"salad, sour, salty, sauce","['sour', 'salty']","['salad', 'sour', 'salty']",0,food,
33,omusg,Curry Omu Rice,Lava egg wasn't as flowy as expected. Curry was great! Not too salty or sweet. Portion sizing was pretty decent. Pork cutlet was dry & cold tho. Pretty disappointing.,Hwans Lim,@_hwns,food,"omu, ricelava, egg, flowy","['omu', 'ricelava', 'flowy']","['omu', 'ricelava']",0,food,
34,omusg,Curry Omu Rice,Lava egg wasn't as flowy as expected. Curry was great! Not too salty or sweet. Portion sizing was pretty decent. Pork cutlet was dry & cold tho. Pretty disappointing.,Hwans Lim,@_hwns,food,"great, not, salty, sweet","['great', 'not', 'salty', 'sweet']","['great', 'not', 'salty', 'sweet']",1,food,food
35,omusg,Curry Omu Rice,Lava egg wasn't as flowy as expected. Curry was great! Not too salty or sweet. Portion sizing was pretty decent. Pork cutlet was dry & cold tho. Pretty disappointing.,Hwans Lim,@_hwns,food,"pretty, decent","['pretty', 'decent']","['pretty', 'decent']",1,food,food
36,omusg,Curry Omu Rice,Lava egg wasn't as flowy as expected. Curry was great! Not too salty or sweet. Portion sizing was pretty decent. Pork cutlet was dry & cold tho. Pretty disappointing.,Hwans Lim,@_hwns,food,"dry, cold, tho","['dry', 'cold', 'tho']","['dry', 'cold', 'tho']",-1,food,food
37,omusg,Curry Omu Rice,Lava egg wasn't as flowy as expected. Curry was great! Not too salty or sweet. Portion sizing was pretty decent. Pork cutlet was dry & cold tho. Pretty disappointing.,Hwans Lim,@_hwns,portion,"sizing, pretty, decent","['sizing', 'pretty', 'decent']","['sizing', 'pretty', 'decent']",1,portion,portion
38,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,food,"sweet, potato, latte, hot","['sweet', 'latte', 'hot']","['sweet', 'potato', 'hot']",0,food,
39,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,food,"might, translate, drinks","['might', 'translate', 'drinks']","['might', 'translate']",0,food,
40,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,food,"almost, undetectable","['almost', 'undetectable']","['almost', 'undetectable']",0,,
41,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,food,"sweetened, milk",['sweetened'],['sweetened'],0,food,
42,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,price,"sweet, potato",['sweet'],"['sweet', 'potato']",0,food,
43,workbench-bistro,"Purple Sweet Potato Latte (Hot, $5.90)","Had high hopes for this since they’re known for the sweet potato waffles. I was hoping that their expertise with sweet potato might translate to their drinks. Unfortunately that’s not the case. Don’t waste your money or stomach space on this. The sweet potato latte here is made from powder, and the sweet potato taste is almost undetectable. It just tasted like a cup of sweetened milk with some hints of sweet potato. Not worth the $5.90.",Melissa Chee,@melchee92,price,"waste, money, stomach, space","['waste', 'stomach', 'space']",[],-1,food,food
44,Mar-03,Marché Rosti With Sausage And Eggs,"Rosti was very well cooked! Really loved the sausage too. The sour cream was not that good, tasted really plain and different, not the sour cream you'd expect. ",Yue Hern,@yuehern,food,"eggsrosti, well, cooked","['eggsrosti', 'well', 'cooked']","['eggsrosti', 'well', 'cooked']",1,food,food
45,Mar-03,Marché Rosti With Sausage And Eggs,"Rosti was very well cooked! Really loved the sausage too. The sour cream was not that good, tasted really plain and different, not the sour cream you'd expect. ",Yue Hern,@yuehern,food,"really, loved, sausage","['really', 'loved']","['really', 'loved']",1,food,food
46,Mar-03,Marché Rosti With Sausage And Eggs,"Rosti was very well cooked! Really loved the sausage too. The sour cream was not that good, tasted really plain and different, not the sour cream you'd expect. ",Yue Hern,@yuehern,food,"sour, cream",['sour'],['sour'],0,food,
47,Mar-03,Marché Rosti With Sausage And Eggs,"Rosti was very well cooked! Really loved the sausage too. The sour cream was not that good, tasted really plain and different, not the sour cream you'd expect. ",Yue Hern,@yuehern,food,"not, good",['not'],"['not', 'good']",-1,food,food
48,Mar-03,Marché Rosti With Sausage And Eggs,"Rosti was very well cooked! Really loved the sausage too. The sour cream was not that good, tasted really plain and different, not the sour cream you'd expect. ",Yue Hern,@yuehern,service,"sour, cream, not, good","['sour', 'not']","['sour', 'not', 'good']",-1,food,food
49,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,food,save,['save'],['save'],0,,
50,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,food,like,['like'],['like'],1,food,food
51,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,food,"not, worth",['not'],"['not', 'worth']",-1,food,food
52,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,food,"though, love, generous, amount, bak, chor, pork, slices","['though', 'love', 'bak', 'chor', 'slices']","['though', 'generous', 'bak']",1,food,food
53,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,price,"not, worth",['not'],"['not', 'worth']",-1,price,price
54,lams-abalone-noodles-lavender,BCM (no abalone),"Order this to save $$$ because $7 for like 3 pieces of abalone is so not worth it. No egg though :( Love the generous amount of bak chor, pork slices and lardddd",potato tomato,@hungryandconfused,portion,"love, generous, amount",['love'],['generous'],1,portion,portion
55,workbench-bistro,忘不了 The Unforgettable Waffle,"It's crispy, sweet and salty at the same time
Could b better if mashmellow r torched. ",Huang Chunping,@huangchunping,time,"time, could, b, better","['could', 'b', 'better']","['could', 'b', 'better']",-1,time,time
56,astons-specialities-10,"Fish, Chicken & Steaks","Astons Specialities serves up western fare at affordable prices. Go for the classics such as Crispy Fried Fish and Teriyaki Chicken, but forget about steaks because it's just not worth it. Please read my review at www.hungryghost.sg",Hungry Ghost,@HungryGhost,food,"chicken, steaksastons, specialities, serves, western, fare, affordable, prices","['steaksastons', 'specialities', 'serves', 'western', 'fare', 'prices']","['serves', 'western', 'fare', 'affordable']",0,food,
57,astons-specialities-10,"Fish, Chicken & Steaks","Astons Specialities serves up western fare at affordable prices. Go for the classics such as Crispy Fried Fish and Teriyaki Chicken, but forget about steaks because it's just not worth it. Please read my review at www.hungryghost.sg",Hungry Ghost,@HungryGhost,food,"fried, fish, teriyaki",['fried'],"['fried', 'teriyaki']",0,food,
58,astons-specialities-10,"Fish, Chicken & Steaks","Astons Specialities serves up western fare at affordable prices. Go for the classics such as Crispy Fried Fish and Teriyaki Chicken, but forget about steaks because it's just not worth it. Please read my review at www.hungryghost.sg",Hungry Ghost,@HungryGhost,food,"forget, steaks, not, worth","['forget', 'steaks', 'not']","['forget', 'steaks', 'not', 'worth']",-1,food,food
59,astons-specialities-10,"Fish, Chicken & Steaks","Astons Specialities serves up western fare at affordable prices. Go for the classics such as Crispy Fried Fish and Teriyaki Chicken, but forget about steaks because it's just not worth it. Please read my review at www.hungryghost.sg",Hungry Ghost,@HungryGhost,price,"western, fare, affordable, prices","['western', 'fare', 'prices']","['western', 'fare', 'affordable']",1,price,price
60,astons-specialities-10,"Fish, Chicken & Steaks","Astons Specialities serves up western fare at affordable prices. Go for the classics such as Crispy Fried Fish and Teriyaki Chicken, but forget about steaks because it's just not worth it. Please read my review at www.hungryghost.sg",Hungry Ghost,@HungryGhost,price,"not, worth",['not'],"['not', 'worth']",-1,price,price
61,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,food,"good, pork, poordoes",['poordoes'],"['good', 'poordoes']",1,food,food
62,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,food,"show, roast","['show', 'roast']",['show'],0,food,
63,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,food,"not, much, mention, dry","['not', 'much', 'mention', 'dry']","['not', 'much', 'mention', 'dry']",-1,food,food
64,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,food,decent,['decent'],['decent'],1,food,food
65,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,service,"pork, poordoes, picture, show","['poordoes', 'picture', 'show']","['poordoes', 'show']",0,food,
66,yummy-recipes,Duck Good Pork Poor,Does the picture show the roast pork is not much to mention? Dry and not crispy...pity because everyone's making better and better crackling roast pork out there...Duck was decent tho!,Andrew Tan,@andrew10,service,"not, much, mention, dry","['not', 'much', 'mention', 'dry']","['not', 'much', 'mention', 'dry']",-1,,
67,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"pulled, pork, burger, brioche, bun, purple, slaw","['pulled', 'purple', 'slaw']","['pulled', 'bun', 'purple']",0,food,
68,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"ordered, crab, meat, linguine, beef",['ordered'],['ordered'],0,food,
69,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"fish, chips",['chips'],[],0,food,
70,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"garlic, wings",['wings'],['garlic'],0,food,
71,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"doused, bbq, sauce","['doused', 'bbq']",['doused'],0,food,
72,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"nothing, close, description","['nothing', 'close', 'description']","['nothing', 'close']",0,,
73,workbench-bistro,Skip The Main Meals,"Pictured: [pulled pork burger on brioche bun with purple slaw]. Other main dishes ordered: crab meat linguine, beef burger, fish and chips, garlic wings, garlic fries. All of them received the following comment: I've had better/so-so. The pulled pork was simply pork shreds doused in BBQ sauce. The supposedly 'brioche bun' was nothing close to its description...and the 'purple slaw' described in the menu was non existent :/ (note: this dish comes with fries but I swapped mine for more purple slaw. Although as you can see from the picture I was given salad leaves instead). I had high hopes for their dishes but unfortunately they did not live up to expectations. DESSERTS - these on the other hand were better. Although we've had better ones elsewhere, these were still acceptable. One thing I give brownie points for would be their ice cream. Fun flavours!! :)",Charlotte de Drouas,@apennyfortea,food,"swapped, mine","['swapped', 'mine']",['swapped'],0,,
