restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,phrase_no_aspect,phrase_no_noun,new_aspect_1,new_aspect_2,label
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,sourness,['sourness'],['sourness'],,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,stick,['stick'],['stick'],,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"smooth, criminal","['smooth', 'criminal']","['smooth', 'criminal']",,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,bonus,['bonus'],[],,,1
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"not, salty","['not', 'salty']","['not', 'salty']",food,food,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"head, chef",['chef'],[],,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,sgfoodie,['sgfoodie'],['sgfoodie'],,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"lomaikai, porridge",['lomaikai'],[],food,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,time,"next, time, stick, congee, smooth, criminal, bonus","['next', 'stick', 'smooth', 'criminal', 'bonus']","['next', 'stick', 'smooth', 'criminal']",food,food,1
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,time,"not, salty","['not', 'salty']","['not', 'salty']",food,food,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,service,"fun, fact, friendly, owner","['fun', 'fact', 'owner']",['friendly'],service,service,1
333-bak-kut-teh,Yumyum.😊,Cheap and nice.😎,SHI JIA OOI,@shijiaaaaaaa,price,nice,['nice'],['nice'],price,price,1
333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",#throwback #PorkNotHalal #soup #chinesefood #food #foodie #foodiesg #sgfoodie #foodart #foodinc #fooddiary #foodstagram #foodspotting #foodporn #foodphotography #sgfood #sgfoodporn #sgfooddiary #sgmakandiary #lifeisdeliciousinSingapore #Burpple #HungryGoWhere #sgweekendfeast #vitagensg #sgeats #openricesg #eatoutsg #eatbooksg #droolsnapnom #ginpala,Joanne Tan,@cherraexoxo,food,"last, friday, pig, intestines, really, big","['last', 'friday', 'intestines', 'really']","['last', 'intestines', 'really', 'big']",food,,0
333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",#throwback #PorkNotHalal #soup #chinesefood #food #foodie #foodiesg #sgfoodie #foodart #foodinc #fooddiary #foodstagram #foodspotting #foodporn #foodphotography #sgfood #sgfoodporn #sgfooddiary #sgmakandiary #lifeisdeliciousinSingapore #Burpple #HungryGoWhere #sgweekendfeast #vitagensg #sgeats #openricesg #eatoutsg #eatbooksg #droolsnapnom #ginpala,Joanne Tan,@cherraexoxo,food,"chinesefood, food, foodie, foodiesg","['chinesefood', 'food', 'foodie', 'foodiesg']",['foodie'],food,,0
333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",#throwback #PorkNotHalal #soup #chinesefood #food #foodie #foodiesg #sgfoodie #foodart #foodinc #fooddiary #foodstagram #foodspotting #foodporn #foodphotography #sgfood #sgfoodporn #sgfooddiary #sgmakandiary #lifeisdeliciousinSingapore #Burpple #HungryGoWhere #sgweekendfeast #vitagensg #sgeats #openricesg #eatoutsg #eatbooksg #droolsnapnom #ginpala,Joanne Tan,@cherraexoxo,portion,"last, friday, pig, intestines, really, big","['last', 'friday', 'intestines', 'really']","['last', 'intestines', 'really', 'big']",portion,portion,1
4-fingers-marina-square,What a sinful way to end the weekend!,"Ice cream followed by fried chicken wings!
Garlic seasoning wings and seaweed fries. .
.
#foodpost #sgfood #foodporn #food #foodlover #foodpics #foodie #instafood #foodstagram #friedchicken #fourfingers #fries #fastfood #f52grams #msqeats #chickenwings #burpple #sgeats #whati8today",Posh Code,@poshcode,food,end,['end'],[],,,0
4-fingers-marina-square,What a sinful way to end the weekend!,"Ice cream followed by fried chicken wings!
Garlic seasoning wings and seaweed fries. .
.
#foodpost #sgfood #foodporn #food #foodlover #foodpics #foodie #instafood #foodstagram #friedchicken #fourfingers #fries #fastfood #f52grams #msqeats #chickenwings #burpple #sgeats #whati8today",Posh Code,@poshcode,food,"fried, chicken, wings","['fried', 'wings']",['fried'],food,,0
4-fingers-marina-square,What a sinful way to end the weekend!,"Ice cream followed by fried chicken wings!
Garlic seasoning wings and seaweed fries. .
.
#foodpost #sgfood #foodporn #food #foodlover #foodpics #foodie #instafood #foodstagram #friedchicken #fourfingers #fries #fastfood #f52grams #msqeats #chickenwings #burpple #sgeats #whati8today",Posh Code,@poshcode,food,"garlic, seasoning",[],"['garlic', 'seasoning']",food,,0
4-fingers-marina-square,What a sinful way to end the weekend!,"Ice cream followed by fried chicken wings!
Garlic seasoning wings and seaweed fries. .
.
#foodpost #sgfood #foodporn #food #foodlover #foodpics #foodie #instafood #foodstagram #friedchicken #fourfingers #fries #fastfood #f52grams #msqeats #chickenwings #burpple #sgeats #whati8today",Posh Code,@poshcode,food,"seaweed, fries",[],['seaweed'],food,,0
4-fingers-marina-square,What a sinful way to end the weekend!,"Ice cream followed by fried chicken wings!
Garlic seasoning wings and seaweed fries. .
.
#foodpost #sgfood #foodporn #food #foodlover #foodpics #foodie #instafood #foodstagram #friedchicken #fourfingers #fries #fastfood #f52grams #msqeats #chickenwings #burpple #sgeats #whati8today",Posh Code,@poshcode,food,"friedchicken, fourfingers","['friedchicken', 'fourfingers']",['friedchicken'],food,,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"dining, brand","['dining', 'brand']",['dining'],food,,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"fried, chicken",['fried'],['fried'],food,,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"new, one","['new', 'one']","['new', 'one']",food,,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"tom, yum, pop, crispy","['tom', 'yum', 'pop', 'crispy']","['yum', 'pop', 'crispy']",food,food,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"popping, candy",['popping'],['popping'],food,food,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,food,"make, way, four, fingers, taste","['make', 'way', 'four', 'fingers']","['make', 'four', 'taste']",food,food,0
4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!","The ultimate blend of savoury, tangy, spicy and sweet, this highly-addictive rendition is available for a limited time only across all 13 4FINGERS outlets island-wide from now until 2 March 2020
🔻
If you a fan of fried chicken, and Tom yum, then you won’t want to miss this! This is INDEED LEGIT!! Hurry and make your way to Four Fingers to taste the flavors of the Tom yum and hear the popping of the candy!👌🏽
🔹
🔹
🔹
Thanks to @sixthsensepr @4fingerssingapore for having me!
🔹
🔹
🔹
#fourfingers#4fingerssingapore#4fingerssg#tomyumchicken#chicken#foodie#eatsg#delicious#singapore#tomyumchickenwings#sgfoodporn#sgfoodie#sgfood#foodsg#instasg#foodpics#foodgasm#instasg#sgfoodies#sixthsensepr#hungrygowhere#burpple#burpplesg#makanwarrior#stfoodtrending#gimme4fingers #TomYumPop",Makan Warrior,@makanwarrior10,time,"fried, chicken",['fried'],['fried'],food,,0
