VADER_prob_pos,VADER_prob_neg,label
0.0,0.0,1.0
0.0,0.455,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.321,0.471,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.655,0.0,1.0
0.345,0.0,1.0
0.147,0.178,1.0
0.0,0.0,0.0
0.528,0.0,1.0
0.0,0.5,-1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.377,0.159,1.0
0.356,0.0,0.0
0.0,0.205,0.0
0.0,0.75,-1.0
0.0,0.0,0.0
0.0,0.6,1.0
0.5,0.0,1.0
0.75,0.0,1.0
0.403,0.0,1.0
0.459,0.27,0.0
0.264,0.0,0.0
0.407,0.0,1.0
0.535,0.0,1.0
0.31,0.0,1.0
0.0,0.0,0.0
0.333,0.0,1.0
0.643,0.0,1.0
0.0,0.73,-1.0
0.233,0.192,1.0
0.0,0.574,-1.0
0.599,0.2,1.0
0.385,0.396,-1.0
0.05,0.248,1.0
0.306,0.0,0.0
0.288,0.098,1.0
0.588,0.0,1.0
1.0,0.0,1.0
0.75,0.0,1.0
0.457,0.173,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.13,0.0,1.0
0.697,0.0,1.0
0.469,0.148,1.0
0.0,0.75,-1.0
0.114,0.0,0.0
0.0,0.0,1.0
0.182,0.0,1.0
0.592,0.0,1.0
0.592,0.0,1.0
0.0,0.6,-1.0
0.231,0.0,1.0
0.726,0.0,1.0
0.362,0.097,1.0
0.524,0.0,1.0
0.379,0.0,1.0
0.792,0.0,0.0
0.415,0.135,1.0
0.0,0.214,0.0
0.485,0.197,0.0
0.444,0.0,0.0
0.0,0.0,0.0
0.266,0.0,1.0
0.071,0.0,1.0
0.493,0.0,1.0
0.651,0.0,1.0
0.481,0.0,1.0
0.231,0.0,1.0
0.744,0.0,1.0
0.398,0.0,1.0
0.0,0.0,0.0
0.481,0.0,1.0
0.316,0.368,1.0
0.197,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.293,0.0,0.0
0.459,0.405,0.0
0.0,0.375,-1.0
0.0,0.0,0.0
0.24,0.0,-1.0
0.0,0.75,-1.0
0.0,0.0,-1.0
0.455,0.0,-1.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.429,0.0
0.457,0.0,1.0
0.0,0.0,-1.0
0.744,0.0,1.0
0.0,0.6,0.0
0.0,0.0,0.0
0.429,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.452,-1.0
0.787,0.0,1.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.37,0.0,1.0
0.259,0.0,0.0
0.322,0.0,1.0
0.5,0.5,-1.0
0.0,0.0,0.0
0.0,0.306,0.0
0.0,0.0,0.0
0.0,0.219,1.0
0.394,0.0,0.0
0.245,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.315,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.17,0.0,1.0
0.106,0.0,0.0
0.0,0.0,0.0
0.351,0.0,1.0
0.42,0.0,1.0
0.712,0.0,0.0
0.531,0.469,1.0
0.103,0.0,0.0
0.481,0.0,1.0
0.5,0.0,1.0
0.6,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.49,0.0,1.0
0.0,0.0,0.0
0.535,0.0,1.0
0.213,0.175,1.0
0.0,0.6,-1.0
0.656,0.161,1.0
0.0,0.0,0.0
0.356,0.0,1.0
0.214,0.375,-1.0
0.294,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.15,0.0
0.0,0.0,-1.0
0.345,0.138,1.0
0.143,0.0,1.0
0.0,0.231,0.0
0.0,0.0,0.0
0.75,0.0,1.0
0.0,0.0,1.0
0.583,0.0,1.0
0.0,0.0,1.0
0.224,0.121,1.0
0.0,0.5,-1.0
0.53,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,0.0
0.0,0.429,-1.0
0.0,0.445,-1.0
0.444,0.0,1.0
0.662,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.529,0.0,1.0
0.387,0.437,-1.0
0.528,0.0,1.0
0.0,0.75,-1.0
0.58,0.0,1.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.0,0.0,-1.0
0.239,0.0,0.0
0.0,0.0,-1.0
0.367,0.38,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.157,0.0,1.0
0.0,0.0,1.0
0.268,0.0,1.0
0.266,0.0,1.0
0.0,0.75,-1.0
0.0,0.0,1.0
0.643,0.0,1.0
0.0,0.73,-1.0
0.0,0.0,0.0
0.648,0.162,1.0
0.592,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.244,0.0,1.0
0.179,0.268,1.0
0.534,0.0,1.0
0.107,0.0,0.0
0.356,0.0,1.0
0.097,0.07,1.0
0.375,0.0,1.0
0.722,0.0,0.0
0.0,0.444,-1.0
0.31,0.0,0.0
0.0,0.0,1.0
0.197,0.0,1.0
0.0,0.236,0.0
1.0,0.0,1.0
0.133,0.0,-1.0
0.474,0.0,1.0
0.0,0.0,0.0
0.0,0.429,0.0
0.455,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.429,-1.0
0.531,0.0,1.0
0.42,0.0,1.0
0.434,0.094,1.0
0.452,0.0,-1.0
0.56,0.0,1.0
0.75,0.0,1.0
0.762,0.0,0.0
0.37,0.076,0.0
0.459,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.116,0.0,1.0
0.5,0.0,1.0
0.0,0.0,0.0
0.214,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.098,0.277,1.0
0.231,0.0,1.0
0.223,0.114,1.0
0.0,0.0,0.0
0.164,0.0,1.0
0.0,0.0,-1.0
0.0,0.239,0.0
0.375,0.0,0.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.326,0.0,1.0
0.461,0.0,1.0
0.0,0.0,0.0
0.319,0.054,1.0
1.0,0.0,1.0
0.0,0.0,0.0
0.429,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.231,0.0,1.0
0.697,0.0,1.0
0.75,0.0,1.0
0.714,0.0,1.0
0.0,0.0,0.0
0.174,0.0,0.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.388,0.0,1.0
0.279,0.026,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.481,0.145,0.0
0.75,0.0,1.0
0.225,0.0,1.0
0.214,0.0,1.0
0.462,0.323,1.0
1.0,0.0,1.0
0.512,0.0,0.0
0.0,0.0,1.0
0.0,0.5,0.0
0.492,0.0,1.0
0.0,0.0,0.0
0.205,0.0,0.0
0.333,0.0,1.0
0.583,0.0,1.0
0.0,0.138,1.0
0.608,0.0,1.0
0.381,0.0,0.0
0.079,0.227,1.0
0.277,0.22,-1.0
0.0,0.54,-1.0
0.46,0.151,1.0
0.0,0.0,0.0
0.452,0.0,0.0
0.0,0.219,0.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.583,0.0,1.0
0.388,0.0,1.0
0.0,0.0,0.0
0.293,0.104,1.0
1.0,0.0,1.0
0.452,0.0,0.0
0.214,0.0,1.0
0.41,0.0,-1.0
0.429,0.0,1.0
0.565,0.0,1.0
0.0,0.0,1.0
0.303,0.0,1.0
0.0,0.0,1.0
0.0,0.423,0.0
0.15,0.0,1.0
0.6,0.0,1.0
0.857,0.0,1.0
0.0,0.275,1.0
0.664,0.0,1.0
0.455,0.0,0.0
0.0,0.454,-1.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.561,0.195,0.0
0.487,0.0,1.0
0.437,0.0,0.0
0.322,0.0,1.0
0.492,0.0,1.0
0.541,0.0,1.0
0.406,0.123,0.0
0.316,0.065,1.0
0.0,0.0,0.0
0.583,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.773,0.0,1.0
0.432,0.056,0.0
0.592,0.0,1.0
0.74,0.0,1.0
0.0,0.0,0.0
0.365,0.0,1.0
0.0,0.0,0.0
0.592,0.0,1.0
0.773,0.0,1.0
0.583,0.0,0.0
0.0,0.0,1.0
0.0,0.315,-1.0
0.0,0.408,-1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,-1.0
0.324,0.244,1.0
0.0,0.0,0.0
0.808,0.0,1.0
0.128,0.0,0.0
0.773,0.0,1.0
0.737,0.0,1.0
0.18,0.0,0.0
1.0,0.0,1.0
0.0,0.0,-1.0
0.294,0.0,0.0
0.273,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.333,0.179,1.0
0.804,0.0,1.0
