restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,phrase_emoticon_generic,phrase_emoticon_unique,phrase_stem_emoticon_generic,phrase_lemma_emoticon_generic,phrase_stem_emoticon_unique,phrase_lemma_emoticon_unique,label
violet-oon-singapore-at-jewel-changi-airport,"Ayam Buah Keluak ($23++), Beef Rendang ($23++), Chap Chye ($15++)",timtam_tum ✨,food,eat frequently rich truly melange flavour sadly banal beef meat great curries,eat frequently rich truly melange flavour sadly banal beef meat great curry,eat frequent rich truli melang flavour sadli banal beef meat great curri,eat frequently rich truly melange flavour sadly banal beef meat great curries,eat frequently rich truly melange flavour sadly banal beef meat great curries,eat frequent rich truli melang flavour sadli banal beef meat great curri,eat frequently rich truly melange flavour sadly banal beef meat great curry,eat frequent rich truli melang flavour sadli banal beef meat great curri,eat frequently rich truly melange flavour sadly banal beef meat great curry,0.0
violet-oon-singapore-at-jewel-changi-airport,"Ayam Buah Keluak ($23++), Beef Rendang ($23++), Chap Chye ($15++)",timtam_tum ✨,price,serving thoroughly worth food sauces price,serving thoroughly worth food sauce price,serv thoroughli worth food sauc price,serving thoroughly worth food sauces price,serving thoroughly worth food sauces price,serv thoroughli worth food sauc price,serving thoroughly worth food sauce price,serv thoroughli worth food sauc price,serving thoroughly worth food sauce price,1.0
violet-oon-singapore-at-jewel-changi-airport,Curry Chicken Prata and Beef Rendang,shinny L,food,delicious prata served hot highly recommended,delicious prata served hot highly recommended,delici prata serv hot highli recommend,delicious prata served hot highly recommended,delicious prata served hot highly recommended,delici prata serv hot highli recommend,delicious prata served hot highly recommended,delici prata serv hot highli recommend,delicious prata served hot highly recommended,1.0
violet-oon-singapore-at-jewel-changi-airport,Pandan Gula Melaka Cake ($13++),timtam_tum ✨,ambience,cafe vibes,cafe vibe,cafe vibe,cafe vibes,cafe vibes,cafe vibe,cafe vibe,cafe vibe,cafe vibe,0.0
violet-oon-singapore-at-jewel-changi-airport,Pandan Gula Melaka Cake ($13++),timtam_tum ✨,food,gula melaka desserts violet oon felt like perenakan estique ps cafe vibes dense clotted cream nice,gula melaka dessert violet oon felt like perenakan estique p cafe vibe dense clotted cream nice,gula melaka dessert violet oon felt like perenakan estiqu ps cafe vibe dens clot cream nice,gula melaka desserts violet oon felt like perenakan estique ps cafe vibes dense clotted cream nice,gula melaka desserts violet oon felt like perenakan estique ps cafe vibes dense clotted cream nice,gula melaka dessert violet oon felt like perenakan estiqu ps cafe vibe dens clot cream nice,gula melaka dessert violet oon felt like perenakan estique p cafe vibe dense clotted cream nice,gula melaka dessert violet oon felt like perenakan estiqu ps cafe vibe dens clot cream nice,gula melaka dessert violet oon felt like perenakan estique p cafe vibe dense clotted cream nice,1.0
violet-oon-singapore-at-jewel-changi-airport,Pandan Gula Melaka Cake ($13++),timtam_tum ✨,portion,large slice pandan cake,large slice pandan cake,larg slice pandan cake,large slice pandan cake,large slice pandan cake,larg slice pandan cake,large slice pandan cake,larg slice pandan cake,large slice pandan cake,1.0
violet-oon-singapore-at-jewel-changi-airport,Sheperd’s Pie,Lyvia Simano,food,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,piemash potato uncrush minc beef insid flavor enjoy hearti,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,piemash potato uncrush minc beef insid flavor enjoy hearti,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,piemash potato uncrush minc beef insid flavor enjoy hearti,piemashed potato uncrushed minced beef inside flavor enjoyable hearty,1.0
violet-oon-singapore-at-jewel-changi-airport,[Violet Oon] - The Mango Kerabu with Ikan Bilis ($10) resembles and tastes like the Thai mango salad with its tang and spiciness.,SG Food On Foot,food,mango kerabu ikan bilis resembles tastes like sour green mangoes sliced tomatoes pink ginger flowers tossed sweet chilli infused sauce,mango kerabu ikan bilis resembles taste like sour green mango sliced tomato pink ginger flower tossed sweet chilli infused sauce,mango kerabu ikan bili resembl tast like sour green mango slice tomato pink ginger flower toss sweet chilli infus sauc,mango kerabu ikan bilis resembles tastes like sour green mangoes sliced tomatoes pink ginger flowers tossed sweet chilli infused sauce,mango kerabu ikan bilis resembles tastes like sour green mangoes sliced tomatoes pink ginger flowers tossed sweet chilli infused sauce,mango kerabu ikan bili resembl tast like sour green mango slice tomato pink ginger flower toss sweet chilli infus sauc,mango kerabu ikan bilis resembles taste like sour green mango sliced tomato pink ginger flower tossed sweet chilli infused sauce,mango kerabu ikan bili resembl tast like sour green mango slice tomato pink ginger flower toss sweet chilli infus sauc,mango kerabu ikan bilis resembles taste like sour green mango sliced tomato pink ginger flower tossed sweet chilli infused sauce,0.0
wado-dining,"Cow Goes Moo, Dog Goes Woof, And Lamb Goes...Straight Into My Stomach",Russell Leong,food,goes moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,go moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,goe moo dog lamb final meat joy juici season salt sublim mash potato got amaz potenti,goes moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,goes moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,goe moo dog lamb final meat joy juici season salt sublim mash potato got amaz potenti,go moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,goe moo dog lamb final meat joy juici season salt sublim mash potato got amaz potenti,go moo dog lamb finally meat joyful juiciness seasoned salt sublime mashed potato got amazing potential,1.0
wado-dining,"Cow Goes Moo, Dog Goes Woof, And Lamb Goes...Straight Into My Stomach",Russell Leong,price,additional percent service charge added,additional percent service charge added,addit percent servic charg ad,additional percent service charge added,additional percent service charge added,addit percent servic charg ad,additional percent service charge added,addit percent servic charg ad,additional percent service charge added,0.0
wado-dining,Crab Cake,Yang Xunsheng,food,crab cake intense flavour mushy,crab cake intense flavour mushy,crab cake intens flavour mushi,crab cake intense flavour mushy,crab cake intense flavour mushy,crab cake intens flavour mushi,crab cake intense flavour mushy,crab cake intens flavour mushi,crab cake intense flavour mushy,0.0
wado-dining,Crab Cake,Yang Xunsheng,portion,small,small,small,small,small,small,small,small,small,-1.0
wado-dining,Crab Cake,Yang Xunsheng,price,included gst service charge,included gst service charge,includ gst servic charg,included gst service charge,included gst service charge,includ gst servic charg,included gst service charge,includ gst servic charg,included gst service charge,0.0
wado-dining,I’m Gonna Be Shellfish With These Cakes,Russell Leong,ambience,feeling place,feeling place,feel place,feeling place,feeling place,feel place,feeling place,feel place,feeling place,0.0
